LOCATION,PATHWAY,ORIGIN,CALENDAR_YR,QUANTITY,QUANTITY_UNIT,ITEMS_PER_PACKAGE,COMMODITY
Atlanta PIS,Airport - Aircraft - Cargo - PIS,China,2023,61225,Items,1612,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Dominican Republic,2023,62100,Items,1725,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Mexico,2023,62200,Items,1728,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Mexico,2023,63900,Items,1775,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Mexico,2023,64200,Items,1784,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Mexico,2023,64200,Items,1784,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Mexico,2023,64300,Items,1787,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Kenya,2023,64900,Items,1803,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Mexico,2023,66000,Items,1784,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Brazil,2023,67000,Items,1764,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Brazil,2023,67000,Items,1764,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Dominican Republic,2023,67700,Items,1782,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Dominican Republic,2023,71200,Items,1874,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Mexico,2023,71800,Items,1890,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Uganda,2023,73000,Items,1781,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Kenya,2023,73000,Items,1781,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Sri Lanka,2023,73050,Items,2030,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Viet Nam,2023,73300,Items,1788,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Spain,2023,74100,Items,1808,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Dominican Republic,2023,74150,Items,1809,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Kenya,2023,75500,Items,1842,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Brazil,2023,76500,Items,1866,none
